,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
2,Borja Valero ,34, M(CL),6.4,Inter,175,73,8(12),854,-,1,2,-,0.6,92.7,0.1,-,-,1,0.6,0.7,0.2,0.5,-,0.2,0.4,0.6,0.4,0.6,-,0.8,1.1,-,-,1,0.7,36.4,92.7,0.3,1.8,0.1
3,Cédric Soares ,27," D(R),M(R)",6.75,Inter,172,67,2(1),169,-,1,-,-,0.7,70.5,0.7,-,-,1,0.7,1.7,-,0.7,-,0.3,1.7,2.3,0.3,0.7,-,0.7,0.7,0.3,-,1,1.7,31.7,70.5,2.3,1.0,-
4,Dalbert ,25," D(L),M(L)",7.04,Inter,181,70,9(1),762,-,1,2,-,0.6,80.0,2.4,1,-,1,0.6,0.9,0.2,1.7,-,0.6,0.8,3.2,0.8,0.7,-,1.1,0.8,0.3,-,1,0.9,40.6,80.0,1.1,2.1,-
5,Danilo D'Ambrosio ,30," D(CLR),M(LR)",6.88,Inter,180,75,21(1),1861,2,3,4,-,0.4,82.9,1.1,1,2,3,0.4,1.1,0.4,1.2,0.3,0.7,0.9,2.2,1,1.7,0.4,1.3,0.8,0.3,-,3,1.1,51.0,82.9,0.6,2.9,0.1
6,Ivan Perisic ,30, AM(CLR),6.93,Inter,186,80,21(4),1944,4,2,2,-,2.7,72.3,1.7,4,4,2,2.7,1.6,0.7,0.4,0.3,0.5,1.2,0.9,0.7,0.8,-,1.5,0.9,0.1,1,2,1.6,30.4,72.3,1,1.0,0.1
7,João Mário ,26, M(CLR),6.78,Inter,179,73,12(4),1035,1,2,2,-,0.9,84.8,0.3,1,1,2,0.9,1,1.3,1.1,-,1.2,1.7,1.7,0.4,0.8,-,0.1,1.3,-,-,2,1,40.7,84.8,0.4,0.9,-
8,Keita ,24," AM(LR),FW",6.7,Inter,181,80,8(10),779,4,2,1,-,1.4,85.8,0.2,1,4,2,1.4,1.1,0.9,1.1,0.3,0.8,1.1,0.5,0.1,0.7,-,-,0.3,-,-,2,1.1,14.1,85.8,0.6,0.2,-
9,Kwadwo Asamoah ,30," D(L),M(CL)",6.87,Inter,173,75,21(2),1906,-,-,5,-,0.2,88.6,0.5,1,-,-,0.2,0.9,1.3,2,-,0.7,1,1.2,1.2,0.9,0.3,1.1,0.7,0.2,-,-,0.9,57.2,88.6,0.5,3.5,-
10,Lautaro Martínez ,21, FW,6.71,Inter,174,81,10(11),1051,6,2,4,-,2.3,70.5,1,-,6,2,2.3,0.9,0.6,1.7,0.1,1.3,2,0.2,0.1,1.1,-,0.3,0.2,-,-,2,0.9,9.0,70.5,-,0.5,0.1
11,Marcelo Brozovic ,26, M(CR),7.08,Inter,181,68,25(1),2208,2,1,9,1,0.8,89.3,0.8,4,2,1,0.8,1.5,0.8,1,-,0.8,1.3,3,1.4,1.6,-,0.9,1.7,0.2,-,1,1.5,76.5,89.3,0.8,6.8,0.1
12,Matteo Politano ,25," AM(LR),FW",6.9,Inter,171,67,22(5),1889,4,4,3,1,2.1,79.0,0.2,-,4,4,2.1,1.6,1.4,1.1,-,1,1.4,0.6,0.4,0.4,-,0.3,0.7,-,-,4,1.6,32.6,79.0,1.5,1.5,-
13,Matías Vecino ,27, DMC,6.67,Inter,187,81,17(6),1470,2,1,6,-,1.4,81.7,1.7,1,2,1,1.4,0.6,0.5,0.9,0.2,0.6,0.8,1.4,0.6,1.4,-,0.7,0.9,0.3,-,1,0.6,33.2,81.7,0.1,0.9,-
14,Mauro Icardi ,26, FW,6.86,Inter,181,75,18(2),1670,9,2,-,-,2.7,69.5,1.7,2,9,2,2.7,1.2,0.4,0.6,0.9,0.9,1.6,0.4,0.1,0.9,0.1,0.8,0.2,0.1,-,2,1.2,14.9,69.5,0.2,0.5,-
15,Milan Skriniar ,24, D(C),6.93,Inter,187,80,26,2340,-,1,4,-,0.4,92.3,1.9,-,-,1,0.4,0.2,0.2,0.8,-,0.2,0.7,2,0.9,1.2,0.6,4.1,0.7,1,1,1,0.2,65.6,92.3,-,3.5,-
16,Miranda ,34, D(C),6.49,Inter,186,78,10,801,-,-,3,-,0.1,88.9,1.5,-,-,-,0.1,0.1,0.1,0.8,-,0.1,0.5,0.9,1.3,1.6,0.3,3.7,0.3,0.5,-,-,0.1,52.1,88.9,-,3.2,-
17,Radja Nainggolan ,30, M(C),6.83,Inter,176,65,14(6),1237,3,3,2,-,2,84.6,0.4,1,3,3,2,1.3,0.8,1,-,1.3,1.9,1.3,0.4,1.1,-,0.2,0.5,0.1,-,3,1.3,30.5,84.6,0.4,1.6,0.1
18,Roberto Gagliardini ,24, DMC,6.88,Inter,190,77,10(4),830,3,-,4,-,1.4,86.2,2.1,1,3,-,1.4,0.9,0.1,1.2,-,0.5,1.3,1,1,1.6,-,1,0.9,0.2,-,-,0.9,37.9,86.2,0.1,0.8,0.1
19,Samir Handanovic ,34, GK,6.83,Inter,193,92,29,2610,-,-,-,-,-,79.6,0.2,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,0.4,-,-,-,-,-,25.4,79.6,-,4.9,-
20,Sime Vrsaljko ,27," D(LR),M(R)",7.08,Inter,181,76,8(2),726,-,2,2,-,0.2,85.9,1.2,-,-,2,0.2,1.6,0.2,1,0.1,0.4,0.8,2,1.1,0.9,0.1,2.1,0.5,0.1,-,2,1.6,49.6,85.9,2.1,1.8,-
21,Stefan de Vrij ,27, D(C),6.86,Inter,189,78,23,2070,2,-,2,-,0.6,91.2,1.9,-,2,-,0.6,0.2,0.2,0.3,-,0.1,0.2,0.9,1,0.4,0.6,3.3,0.3,1,1,-,0.2,58.9,91.2,-,3.6,-
22,Yann Karamoh ,20," AM(R),FW",6.11,Inter,185,77,0(1),4,-,-,-,-,-,66.7,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3.0,66.7,-,1.0,-
0,Adem Ljajic ,27," AM(CLR),FW",6.28,Torino,182,74,0(1),29,-,-,-,-,2,85.7,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,21,85.7,-,-,-
1,Alex Berenguer ,23," D(LR),M(L)",6.55,Torino,175,70,7(16),833,1,2,2,-,0.5,76.2,0.6,-,1,2,0.5,1,0.9,0.9,0.1,1.4,1.3,1,0.3,0.7,-,0.4,0.3,-,-,2,1,16.3,76.2,0.8,0.7,-
2,Andrea Belotti ,25, FW,7.15,Torino,181,72,29,2581,10,2,4,-,3.2,64,4.3,4,10,2,3.2,0.9,0.9,3.2,0.9,2.1,3.2,0.8,0.4,1.7,0.1,0.6,0.6,0.1,-,2,0.9,20.6,64,0.1,0.6,0.1
3,Armando Izzo ,27, D(C),7.24,Torino,183,78,28,2470,4,-,5,-,0.8,77.5,3.3,5,4,-,0.8,0.2,0.2,1.4,-,0.4,0.4,2.3,2,1.6,0.1,4,0.3,0.6,-,-,0.2,49,77.5,-,4.3,-
4,Bremer ,22, D(C),6.27,Torino,188,80,0(1),11,-,-,-,-,-,75,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,4,75,-,-,-
5,Cristian Ansaldi ,32," D(CLR),DMC,M(LR)",7.19,Torino,181,76,16(1),1277,2,2,2,-,1.6,75.4,0.2,1,2,2,1.6,1.5,2.1,1.2,0.1,1.5,2.1,2.4,0.5,0.9,0.2,0.9,0.8,0.2,-,2,1.5,23.9,75.4,1.6,2.2,-
6,Daniele Baselli ,27, M(C),6.83,Torino,182,70,20(6),1759,4,1,4,-,1,80.5,0.7,-,4,1,1,1.2,0.6,0.9,-,1,1.3,1.8,0.8,1.5,-,0.8,0.8,0.2,-,1,1.2,32.2,80.5,0.5,1.5,-
7,Emiliano Moretti ,37, D(CL),6.65,Torino,185,80,15(1),1382,-,-,3,-,0.1,85,1.7,-,-,-,0.1,0.1,0.1,0.7,-,0.3,0.3,1.4,1.1,1.1,0.6,2.9,0.3,0.1,-,-,0.1,45.4,85,0.1,2.5,-
8,Iago Falque ,29," AM(CLR),FW",6.81,Torino,174,69,18(5),1445,4,4,1,-,2.2,82.1,0.2,1,4,4,2.2,2,0.7,0.7,0.3,1.3,1.8,0.6,0.1,0.7,-,0.1,0.5,-,-,4,2,31.9,82.1,0.9,1.4,0.1
9,Koffi Djidji ,26, D(CL),6.92,Torino,184,71,16,1380,-,-,2,-,0.1,83,1.4,1,-,-,0.1,-,0.9,0.1,-,0.4,0.7,2.3,1.5,0.8,0.8,3.8,0.5,1.2,-,-,-,36.8,83,-,2.6,-
10,Lorenzo De Silvestri ,30," D(R),M(R)",6.62,Torino,186,84,22(2),1780,1,1,1,-,1,65.5,2.6,-,1,1,1,0.7,0.1,0.6,0.2,0.5,1.3,0.5,0.6,0.9,0.1,2,0.4,0.1,-,1,0.7,25.7,65.5,0.8,0.7,-
11,Lyanco ,22, D(C),6.32,Torino,188,83,1(1),90,-,-,1,-,-,80,0.5,-,-,-,-,-,0.5,0.5,-,-,1,0.5,2,0.5,-,2.5,-,0.5,-,-,-,12.5,80,-,0.5,-
12,Nicolas Nkoulou ,29, D(C),6.88,Torino,180,77,27,2405,2,-,5,1,0.1,91,1.7,1,2,-,0.1,0.1,0.2,0.7,-,0.3,0.2,1.4,1.8,1,0.3,4.4,0.3,0.8,-,-,0.1,38.2,91,-,3,-
13,Ola Aina ,22," D(LR),M(LR)",6.97,Torino,182,82,19(5),1863,1,2,5,1,0.8,77.8,1.5,1,1,2,0.8,0.9,1.2,1.4,0.1,0.8,1.3,1.9,1.5,1.1,0.2,1.3,0.8,0.1,-,2,0.9,30.6,77.8,0.6,1.6,-
14,Roberto Soriano ,28, AM(CL),6.46,Torino,182,76,6(5),468,-,2,1,-,0.5,84.6,0.6,-,-,2,0.5,0.8,0.9,0.9,0.2,0.8,0.9,0.8,0.5,1.3,-,0.1,0.6,-,-,2,0.8,19.5,84.6,0.3,0.1,-
15,Salvador Ichazo ,27, GK,6.8,Torino,187,81,2(1),250,-,-,-,-,-,53.8,0.3,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.3,-,-,-,-,-,26,53.8,-,9,-
16,Salvatore Sirigu ,32, GK,7.01,Torino,192,80,27,2360,-,-,1,-,-,58.7,0.6,2,-,-,-,-,-,0.1,-,-,-,-,-,-,-,1,0.1,-,-,-,-,28.1,58.7,-,9.9,-
17,Sasa Lukic ,22, DMC,6.41,Torino,182,74,7(10),655,-,-,4,-,0.2,89.2,0.4,-,-,-,0.2,0.6,0.2,0.7,-,0.6,0.6,0.9,0.7,1.5,-,0.4,0.5,0.2,-,-,0.6,17.9,89.2,0.5,0.6,-
18,Simone Edera ,22, Forward,6.09,Torino,176,70,1(2),77,-,-,-,-,0.3,87.1,0.3,-,-,-,0.3,0.7,-,0.3,-,0.7,1.3,-,0.3,0.7,-,-,0.3,-,-,-,0.7,10.3,87.1,0.3,-,-
19,Simone Zaza ,27, FW,6.52,Torino,186,84,10(13),1242,2,3,7,-,2,67.5,2,-,2,3,2,0.7,-,1.1,0.6,1.1,2.2,0.7,0.2,1.7,-,0.3,0.3,-,-,3,0.7,10.7,67.5,-,0.3,-
20,Soualiho Meité ,25, AM(C),6.79,Torino,187,80,21(5),1875,2,2,7,1,0.8,82.1,2.4,1,2,2,0.8,0.9,1.3,1.6,-,1.2,1.8,1.2,0.6,1.7,-,0.6,0.5,0.2,-,2,0.9,31.2,82.1,0.2,1.5,-
21,Tomás Rincón ,31, M(CR),6.98,Torino,177,76,25(1),2202,3,1,11,-,1,79.3,2.4,1,3,1,1,0.8,0.9,1.3,-,1,1,1.9,1,2.3,-,2.2,1.2,0.2,-,1,0.8,41.8,79.3,0.2,3.8,-
22,Vincenzo Millico ,18, Forward,6.0,Torino,173,68,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Vittorio Parigini ,23, AM(CL),6.22,Torino,180,71,2(10),258,-,-,-,-,0.4,69.1,0.3,-,-,-,0.4,0.6,0.4,0.8,-,0.7,1.2,0.5,0.1,0.5,-,0.3,0.3,-,-,-,0.6,5.7,69.1,0.3,0.2,-
0,Andrija Balic ,21, M(C),6.03,Udinese,180,71,0(4),23,-,-,-,-,0.3,100.0,-,-,-,-,0.3,0.3,-,-,-,0.5,-,0.3,-,0.3,-,-,0.3,-,-,-,0.3,6.3,100.0,-,0.8,-
1,Antonin Barak ,24, AM(C),6.19,Udinese,190,86,4(4),329,-,-,-,-,0.5,84.5,0.6,-,-,-,0.5,0.3,0.4,0.4,-,0.9,0.8,1.1,0.3,0.5,-,0.3,1.1,-,-,-,0.3,21.8,84.5,-,0.3,-
2,Ben Wilmot ,19, Defender,6.21,Udinese,188,80,1(1),91,-,-,-,-,-,77.8,0.5,-,-,-,-,-,-,-,-,-,0.5,-,0.5,-,-,4,1,0.5,-,-,-,22.5,77.8,-,2,-
3,Bram Nuytinck ,28, D(C),6.68,Udinese,190,80,23(1),2005,-,-,4,1,0.2,81.6,1.6,1,-,-,0.2,0.2,0.1,0.2,-,0.1,0.3,1.9,1.1,1,0.1,4.5,0.3,1,-,-,0.2,35.4,81.6,-,2.8,-
4,Darwin Machís ,26, AM(L),6.36,Udinese,170,68,4(9),457,-,1,2,-,1.2,80.1,0.3,-,-,1,1.2,0.8,1,0.9,-,0.7,1.7,0.5,0.2,0.5,-,0.5,0.3,-,-,1,0.8,10.5,80.1,0.2,0.3,-
5,Emmanuel Badu ,28, DMC,6.11,Udinese,173,71,0(1),5,-,-,-,-,-,100.0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
6,Felipe Vizeu ,22, FW,6.01,Udinese,185,83,0(5),28,-,-,-,-,0.2,71.4,0.2,-,-,-,0.2,0.4,-,-,-,0.2,0.4,-,-,0.2,-,-,-,-,-,-,0.4,1.4,71.4,-,-,-
7,Giuseppe Pezzella ,21," D(L),M(L)",6.31,Udinese,185,81,2(2),184,-,-,1,-,0.3,63.8,-,-,-,-,0.3,0.5,0.3,0.5,-,0.3,0.5,1.3,0.3,1,0.3,1.5,1.5,0.3,-,-,0.5,11.8,63.8,0.3,0.8,-
8,Hidde ter Avest ,21," D(R),M(R)",6.58,Udinese,182,78,11(1),891,-,1,-,-,0.2,73.1,0.8,-,-,1,0.2,0.7,0.3,0.5,-,0.5,0.5,1.9,0.8,0.3,0.1,1.6,0.5,0.2,-,1,0.7,28.5,73.1,0.6,0.6,-
9,Ignacio Pussetto ,23," AM(CLR),FW",6.99,Udinese,180,74,20(7),1805,4,4,8,-,1.9,69.2,3.1,3,4,4,1.9,0.8,1.5,1.7,0.6,1.4,2.8,2.1,0.9,1.6,-,0.8,0.7,0.1,-,4,0.8,20.0,69.2,0.1,0.3,-
10,Jens Stryger Larsen ,28," D(CLR),M(R)",6.48,Udinese,180,74,28,2516,1,4,5,-,0.4,79.8,0.8,-,1,4,0.4,0.8,0.2,0.4,0.1,0.7,0.8,1.2,0.6,0.4,0.1,2.2,0.8,0.1,-,4,0.8,41.3,79.8,0.5,1.8,-
11,Juan Musso ,24, GK,6.85,Udinese,191,93,20,1800,-,-,2,-,-,55.5,0.5,3,-,-,-,0.1,-,0.3,-,-,0.1,-,-,0.1,0.1,1.3,0.1,-,-,-,0.1,27.7,55.5,-,9.6,-
12,Kevin Lasagna ,26," AM(L),FW",6.57,Udinese,185,80,19(8),1812,6,1,2,-,1.8,71.9,2.5,-,6,1,1.8,0.6,0.3,0.9,0.6,0.6,2.1,0.1,0.2,0.7,-,0.9,0.1,0.1,-,1,0.6,12.4,71.9,0.2,0.2,-
13,Lukasz Teodorczyk ,27, FW,6.09,Udinese,185,76,1(10),248,1,-,1,-,0.7,64.1,1,-,1,-,0.7,0.1,0.1,0.5,0.2,0.9,0.8,0.2,0.1,1.5,-,0.3,0.2,0.1,-,-,0.1,3.5,64.1,-,0.1,0.1
14,Marco D'Alessandro ,28, M(LR),6.57,Udinese,173,71,10(6),871,-,1,2,-,0.4,75.5,0.2,-,-,1,0.4,0.6,1.2,1.1,0.1,0.5,0.9,2.1,0.4,0.7,0.1,1.1,0.6,0.1,-,1,0.6,18.6,75.5,0.3,0.4,-
15,Marvin Zeegelaar ,28," D(L),M(L)",6.87,Udinese,186,84,5(2),532,-,-,3,-,-,82.9,1.3,-,-,-,-,0.3,1.7,0.7,0.1,0.4,1.4,2.4,1.6,1,0.1,2.3,0.7,0.3,-,-,0.3,24.3,82.9,0.1,0.7,-
16,Molla Wagué ,28, D(C),6.49,Udinese,191,87,1(1),94,-,-,-,-,1.5,87.8,1.5,-,-,-,1.5,-,-,0.5,-,0.5,1,0.5,2,0.5,-,2.5,0.5,-,-,-,-,24.5,87.8,-,2.5,-
17,Nicholas Opoku ,21, D(C),6.4,Udinese,190,0,8(3),820,-,-,5,-,0.4,85.4,1.5,-,-,-,0.4,0.1,0.3,0.4,-,0.5,0.3,1.5,1.6,0.7,0.1,2.4,0.7,0.4,-,-,0.1,32.5,85.4,-,2,-
18,Rodrigo de Paul ,24," AM(CLR),FW",7.26,Udinese,180,70,28,2490,7,4,6,-,2.3,76.5,0.1,4,7,4,2.3,2.6,2.3,2.5,-,1.9,2.3,1.4,0.7,0.8,-,0.3,0.8,0.1,-,4,2.6,45.6,76.5,1.3,4.9,0.3
19,Rolando Mandragora ,21, DMC,6.71,Udinese,183,76,24(2),2150,2,1,5,1,1.1,83.8,1.8,-,2,1,1.1,0.7,0.1,1.2,-,0.4,0.7,2.2,1.3,1.3,-,1.5,1.5,0.2,-,1,0.7,32.7,83.8,0.3,1.6,-
20,Samir ,24, D(CL),6.88,Udinese,189,73,14,1170,-,-,3,-,0.3,82.1,2.7,-,-,-,0.3,0.4,0.4,1.2,0.1,0.2,1,2.1,1.9,1.5,-,3.2,0.2,0.4,-,-,0.4,32.7,82.1,0.2,0.9,-
21,Sandro ,30, M(C),6.39,Udinese,187,82,2(2),169,-,-,2,-,0.8,82.9,1,-,-,-,0.8,0.5,0.3,1.3,-,0.3,0.3,1,0.5,1.5,-,1.3,0.5,-,-,-,0.5,19.0,82.9,-,0.8,-
22,Sebastien De Maio ,32, D(C),6.47,Udinese,190,90,6(1),562,-,-,-,1,0.6,77.0,2.6,-,-,-,0.6,0.1,0.1,0.1,-,-,0.1,1.3,0.4,0.9,0.1,6.7,0.9,0.9,-,-,0.1,28.0,77.0,-,3,-
23,Seko Fofana ,23, M(C),6.74,Udinese,183,74,28,2449,2,4,5,-,2,85.7,0.5,-,2,4,2,1.3,1.9,1,-,1.8,2.5,0.9,1,1,-,0.5,1,0.2,-,4,1.3,37.6,85.7,0.5,2.1,0.1
24,Simone Scuffet ,22, GK,6.42,Udinese,193,75,9,810,-,-,-,-,-,64.1,0.4,-,-,-,-,-,-,0.1,-,-,0.1,-,-,-,-,1,0.1,-,-,-,-,25.7,64.1,-,8,-
25,Stefano Okaka ,29, FW,6.86,Udinese,186,82,6(3),515,2,-,3,-,1.2,67.7,3.8,-,2,-,1.2,1,1.2,2,0.6,2.2,3,1,-,2.1,-,0.9,0.4,0.1,-,-,1,13.8,67.7,-,0.3,-
26,Svante Ingelsson ,20, AM(R),5.99,Udinese,189,83,0(2),50,-,-,-,-,1,72.2,-,-,-,-,1,-,-,0.5,-,-,1,0.5,-,0.5,-,0.5,-,-,-,-,-,9.0,72.2,-,0.5,-
27,Valon Behrami ,33, M(C),6.72,Udinese,185,78,17(2),1368,1,-,6,-,0.5,82.1,1.3,1,1,-,0.5,0.3,0.3,1.8,-,0.9,0.8,3.5,0.9,2.4,-,1.3,1.4,0.6,-,-,0.3,24.4,82.1,-,0.3,-
28,William Troost-Ekong ,25, D(C),6.7,Udinese,191,82,28,2465,-,-,3,-,0.2,81.9,2.8,-,-,-,0.2,0.1,0.1,0.3,-,0.2,0.3,1,1.2,0.9,0.3,5.5,0.3,1.1,-,-,0.1,32.1,81.9,-,3.2,-
0,Alex Sandro ,28," D(L),M(L)",7.23,Juventus,180,80,24(2),2111,-,2,6,-,0.8,84.5,1.8,2,-,2,0.8,1.3,1.1,1.8,-,0.9,1.3,2.3,1.3,1.7,0.2,2,0.5,0.3,-,2,1.3,54.3,84.5,0.7,2.7,-
1,Andrea Barzagli ,37, D(CR),6.34,Juventus,187,87,2(3),119,-,-,-,-,-,92.2,0.4,-,-,-,-,-,-,0.2,-,0.4,-,0.2,0.4,0.2,-,1,-,0.2,-,-,-,25.6,92.2,-,3.2,-
2,Blaise Matuidi ,31, M(CL),6.92,Juventus,180,75,24(2),2019,3,2,3,-,0.7,87.2,0.8,-,3,2,0.7,0.7,0.7,0.8,0.3,0.5,1.2,1.8,0.9,1,-,0.5,0.5,0.3,-,2,0.7,39.3,87.2,0.2,1.7,-
3,Cristiano Ronaldo ,34," M(L),FW",7.78,Juventus,187,83,25(1),2239,19,8,2,-,6.1,85.3,1,9,19,8,6.1,1.7,1.3,1.7,0.9,1.3,1.7,0.3,0.2,0.7,-,1,0.4,0.1,-,8,1.7,32.1,85.3,0.5,0.8,-
4,Daniele Rugani ,24, D(C),6.93,Juventus,190,84,12,1080,2,-,2,-,0.7,89.8,2.7,-,2,-,0.7,-,-,0.3,-,0.4,0.3,0.7,1.1,1.9,0.5,3.2,0.1,1,-,-,-,51.6,89.8,-,1.9,-
5,Douglas Costa ,28, M(CLR),6.63,Juventus,172,70,7(10),620,1,-,2,1,1.2,86.2,-,1,1,-,1.2,1.2,1.8,0.5,0.1,0.8,1,0.6,0.2,0.8,-,0.1,0.3,-,-,-,1.2,17.5,86.2,0.4,0.9,-
6,Emre Can ,25," D(CLR),DMC",7.01,Juventus,184,82,14(9),1364,4,1,6,-,1.1,86.0,1.4,1,4,1,1.1,0.7,0.8,0.9,0.1,0.4,0.8,2.2,1,1.6,-,0.9,0.6,0.4,1,1,0.7,33.3,86.0,0.2,2,0.1
7,Federico Bernardeschi ,25, M(CLR),6.78,Juventus,185,77,10(12),1087,2,3,3,-,2,83.7,0.4,-,2,3,2,1.2,0.7,1.2,0.2,0.7,0.9,0.5,0.2,0.5,-,0.1,0.4,-,-,3,1.2,21.8,83.7,1,1.3,0.1
8,Giorgio Chiellini ,34, D(C),6.98,Juventus,187,85,18(3),1655,1,1,2,-,0.6,84.5,2.2,-,1,1,0.6,0.2,0.1,0.9,-,0.4,0.2,0.8,1.1,0.6,0.2,3.4,0.1,0.6,-,1,0.2,50.9,84.5,0.1,4.3,-
9,Hans Nicolussi Caviglia ,18, Midfielder,6.01,Juventus,0,0,0(1),10,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,10.0,100.0,-,2,-
10,João Cancelo ,24," D(LR),M(R)",7.35,Juventus,182,74,17(2),1512,1,2,5,-,1.1,86.8,0.8,2,1,2,1.1,1.5,2.6,1.1,-,1,1.3,1.9,0.6,1.3,0.1,1.1,0.7,0.1,-,2,1.5,48.7,86.8,1.1,2.2,0.1
11,Juan Cuadrado ,30," D(R),M(CLR),FW",6.89,Juventus,179,72,7(4),609,1,1,2,-,0.8,90.5,0.4,1,1,1,0.8,1.6,0.3,1.5,0.1,0.5,0.8,1,1.3,0.6,0.1,0.5,0.5,0.2,-,1,1.6,37.4,90.5,0.7,2.5,-
12,Leonardo Bonucci ,31, D(C),6.9,Juventus,190,85,22(1),1996,3,-,1,-,0.6,87.0,1.7,1,3,-,0.6,0.3,-,0.7,0.1,0.1,0.3,0.6,1.4,0.3,0.2,2.7,0.1,0.9,-,-,0.3,58.3,87.0,0.1,5.8,-
13,Leonardo Spinazzola ,26, M(L),6.26,Juventus,186,75,2(3),226,-,-,-,-,1,83.6,0.6,-,-,-,1,0.6,0.6,-,-,0.4,0.8,0.8,-,0.4,-,-,0.2,-,-,-,0.6,25.6,83.6,0.2,0.6,-
14,Mario Mandzukic ,32," M(L),FW",7.36,Juventus,190,85,22(1),1901,8,6,3,-,1.3,70.9,3,3,8,6,1.3,1.2,0.2,1.3,0.3,0.8,1,1.4,0.5,1.4,-,0.7,0.4,0.2,-,6,1.2,23.8,70.9,0.2,0.4,-
